epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,2487.92,1.42439,1.66623,1.33684,0.57158,0.42616,0.46828,0.27866,1.70646,3.66273,1.69877,0.00019416,0.00019416,0.00019416
19,2610.3,1.43501,1.61769,1.3445,0.84903,0.34857,0.44454,0.27999,1.67509,3.41306,1.69631,0.000202812,0.000202812,0.000202812
20,2736.58,1.36578,1.85368,1.36052,0.55568,0.4716,0.48669,0.29343,1.64671,2.96639,1.68083,0.0002112,0.0002112,0.0002112
21,2863.6,1.41507,1.61202,1.34146,0.44494,0.56137,0.51115,0.29541,1.64418,2.63563,1.67569,0.000219323,0.000219323,0.000219323
22,3003.82,1.4133,1.61764,1.32975,0.58439,0.54491,0.51282,0.30539,1.64553,2.46804,1.67471,0.000227182,0.000227182,0.000227182
23,3137.52,1.45142,1.51161,1.33329,0.48965,0.51482,0.48073,0.28799,1.69558,2.49649,1.70195,0.000234777,0.000234777,0.000234777
24,3264,1.41536,1.4905,1.30519,0.53971,0.53371,0.51965,0.30549,1.74572,2.70537,1.7419,0.000242108,0.000242108,0.000242108
25,3390.5,1.32418,1.37132,1.27133,0.4645,0.56392,0.5217,0.30209,1.75233,2.95397,1.75773,0.000249175,0.000249175,0.000249175
26,3524.13,1.42582,1.46269,1.30375,0.47791,0.56345,0.51731,0.30209,1.7701,2.57996,1.78325,0.000255978,0.000255978,0.000255978
27,3648.91,1.32551,1.33756,1.25109,0.49151,0.56837,0.50189,0.29906,1.7954,2.20655,1.81759,0.000262517,0.000262517,0.000262517
28,3809.01,1.41121,1.45739,1.32632,0.49151,0.56837,0.50189,0.29906,1.7954,2.20655,1.81759,0.000268791,0.000268791,0.000268791
29,3962.34,1.37918,1.46987,1.30253,0.51339,0.53272,0.47671,0.29468,1.81199,2.21401,1.79636,0.000274801,0.000274801,0.000274801
30,4115.8,1.37206,1.41179,1.32774,0.54417,0.52324,0.5192,0.3271,1.72635,2.12488,1.71046,0.000280548,0.000280548,0.000280548
31,4277.11,1.21359,1.36832,1.24125,0.54417,0.52324,0.5192,0.3271,1.72635,2.12488,1.71046,0.00028603,0.00028603,0.00028603
32,4450.92,1.39864,1.52278,1.34539,0.45595,0.50397,0.48518,0.31236,1.6874,2.01403,1.69106,0.000291248,0.000291248,0.000291248
33,4605.06,1.23736,1.36076,1.25339,0.55335,0.47716,0.4901,0.29987,1.70992,2.03419,1.71037,0.000296201,0.000296201,0.000296201
34,4760.27,1.32323,1.30533,1.26043,0.55335,0.47716,0.4901,0.29987,1.70992,2.03419,1.71037,0.000300891,0.000300891,0.000300891
35,4932.98,1.29232,1.34514,1.25742,0.44154,0.52289,0.51251,0.3364,1.66324,1.94369,1.67075,0.000305317,0.000305317,0.000305317
36,5100.73,1.34103,1.33386,1.30348,0.50527,0.55448,0.51462,0.32282,1.68387,1.90394,1.67051,0.000309478,0.000309478,0.000309478
37,5258.41,1.33808,1.27112,1.22515,0.50527,0.55448,0.51462,0.32282,1.68387,1.90394,1.67051,0.000313375,0.000313375,0.000313375
38,5415.4,1.32964,1.23565,1.25167,0.49756,0.63098,0.51728,0.3228,1.66869,1.82892,1.69643,0.000317008,0.000317008,0.000317008
39,5572.99,1.27465,1.13625,1.22454,0.49861,0.6,0.55142,0.32785,1.70092,1.83731,1.72569,0.000320377,0.000320377,0.000320377
40,5730.81,1.22011,1.23329,1.27034,0.49861,0.6,0.55142,0.32785,1.70092,1.83731,1.72569,0.000323482,0.000323482,0.000323482
